ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC00001;1;2011-04-25;14;4;PERÚ;2;EDUCADORES DE CALLE;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;2025-02-22;1;1;1;NO APLICA;2
SEC00002;2;2008-04-01;17;4;PERÚ;2;EDUCADORES DE CALLE;LAMBAYEQUE;CHICLAYO;CHICLAYO;2025-02-22;1;1;1;NO APLICA;2
SEC00003;1;2013-01-30;12;4;PERÚ;2;EDUCADORES DE CALLE;LAMBAYEQUE;CHICLAYO;CHICLAYO;2025-02-22;1;1;1;NO APLICA;2
SEC00004;1;2016-04-30;9;3;PERÚ;2;EDUCADORES DE CALLE;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;2025-02-22;1;1;1;NO APLICA;2
SEC00005;1;2018-05-07;7;3;PERÚ;2;EDUCADORES DE CALLE;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;2025-02-22;1;1;1;NO APLICA;2
SEC00006;1;2020-05-02;5;2;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;MAGDALENA;2025-05-14;2;1;1;NO APLICA;2
SEC00007;2;2017-02-17;8;3;VENEZUELA;2;EDUCADORES DE CALLE;LIMA;LIMA;MAGDALENA;2025-05-14;2;1;1;NO APLICA;2
SEC00008;1;2010-11-07;14;4;PERÚ;2;EDUCADORES DE CALLE;LA LIBERTAD;TRUJILLO;TRUJILLO;2023-11-08;1;1;1;NO APLICA;2
SEC00009;2;2018-10-24;6;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;CERRO COLORADO;2025-02-18;1;1;1;NO APLICA;2
SEC00010;2;2013-10-10;11;3;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;2022-02-25;1;1;2;2025-04-22;1
SEC00011;1;2011-12-06;13;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;2024-06-18;1;1;1;NO APLICA;2
SEC00012;2;2020-07-13;5;2;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;ATE;2022-06-11;1;1;1;NO APLICA;2
