ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
7******3AAS;1;2015-01-20;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-10-27;1;1;1;NO APLICA;2
7******1AGJ;1;2013-12-06;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-08-22;1;1;1;NO APLICA;2
7******8AAP;1;2014-01-26;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-04-11;1;1;1;NO APLICA;2
6******9APL;2;2009-10-18;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-09-20;1;1;1;NO APLICA;2
9******8APL;2;2017-09-02;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-09-20;1;1;1;NO APLICA;2
6******5ACY;1;2009-02-01;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-03-24;1;1;1;NO APLICA;2
6******0ACT;2;2011-05-25;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-09-16;1;1;1;NO APLICA;2
8******0AHA;1;2012-10-04;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-09-25;1;1;1;NO APLICA;2
7******0AQS;2;2015-02-19;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-11-18;1;1;1;NO APLICA;2
7******7AQE;2;2014-05-23;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-11-15;1;1;1;NO APLICA;2
9******2ALM;2;2017-03-08;7;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2024-09-25;1;1;1;NO APLICA;2
6******0ACM;1;2009-07-13;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-04-10;1;1;1;NO APLICA;2
6******5ACK;2;2011-04-22;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-11-25;1;1;2;2025-01-28;2
6******4AIM;2;2012-11-29;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2020-02-13;1;1;1;NO APLICA;2
7******6ACM;2;2014-10-26;10;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-05-20;1;1;1;NO APLICA;2
8******7ACJ;1;2013-04-29;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-02-14;1;1;1;NO APLICA;2
7******4BCD;2;2016-09-14;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-03-24;1;1;1;NO APLICA;2
6******6BMJ;1;2009-08-11;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-15;1;1;1;NO APLICA;2
7******2BRS;2;2016-03-21;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-04;1;2;1;NO APLICA;2
6******8BMM;2;2009-01-31;16;4;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-08;1;1;1;NO APLICA;2
9******8BFI;1;2016-06-03;8;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-20;2;1;1;NO APLICA;2
7******5BBC;1;2015-03-08;9;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-08;1;2;1;NO APLICA;2
7******7CCM;2;2013-12-08;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-10-24;1;1;1;NO APLICA;2
6******1CHR;2;2012-07-03;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2023-01-20;1;1;1;NO APLICA;2
6******0CTM;2;2011-02-21;13;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-10-18;1;1;1;NO APLICA;2
7******6CTL;2;2013-09-14;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-10-18;1;1;1;NO APLICA;2
6******4CAG;2;2009-10-24;15;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;Abancay;ABANCAY;2025-01-22;1;1;1;NO APLICA;2
7******5CAK;2;2013-04-23;11;3;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-07-18;1;1;1;NO APLICA;2
6******5CGR;1;2010-10-13;14;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2022-06-23;1;1;1;NO APLICA;2
