ID_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;NOM_SER;DEP_CA;PROV_CA;DIST_CA;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;NNA_DEJO_CALLE
SEC00001;1;2009-09-12;15;4;PERÚ;2;EDUCADORES DE CALLE;UCAYALI;CORONEL PORTILLO;CALLERIA;2016-03-11;1;1;1;NO APLICA;1
SEC00002;1;2011-01-19;14;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;RIMAC;2017-01-10;2;1;1;NO APLICA;2
SEC00003;1;2013-01-28;12;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;RIMAC;2017-01-10;2;1;2;2025-05-22;2
SEC00004;1;2008-08-08;16;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2017-02-21;1;1;1;NO APLICA;2
SEC00005;2;2008-02-25;17;4;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;2017-10-31;1;1;1;NO APLICA;2
SEC00006;1;2009-07-24;15;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;2018-11-30;1;1;1;NO APLICA;1
SEC00007;1;2015-09-02;9;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;2018-11-30;1;1;1;NO APLICA;1
SEC00008;1;2007-05-08;17;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2018-12-18;1;1;1;NO APLICA;2
SEC00009;1;2009-05-31;15;4;PERÚ;2;EDUCADORES DE CALLE;ANCASH;CASMA;CASMA;2019-04-05;1;1;1;NO APLICA;2
SEC00010;2;2011-12-10;13;4;PERÚ;2;EDUCADORES DE CALLE;ANCASH;CASMA;CASMA;2019-04-23;1;1;1;NO APLICA;2
SEC00011;2;2011-06-04;13;4;PERÚ;2;EDUCADORES DE CALLE;ANCASH;CASMA;CASMA;2019-04-27;1;2;1;NO APLICA;1
SEC00012;2;2014-05-16;10;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2019-06-23;2;1;1;NO APLICA;2
SEC00013;2;2017-11-04;7;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2019-06-23;1;1;1;NO APLICA;2
SEC00014;1;2008-04-23;17;4;PERÚ;1;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2019-07-23;1;1;2;2025-05-23;1
SEC00015;2;2010-04-13;15;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-08-12;1;1;1;NO APLICA;2
SEC00016;1;2010-11-02;14;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-08-12;1;1;1;NO APLICA;2
SEC00017;2;2013-06-21;11;3;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-08-12;1;1;1;NO APLICA;2
SEC00018;1;2009-12-08;15;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;TACNA;2019-08-24;1;1;2;2025-02-17;1
SEC00019;2;2008-05-01;16;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;TACNA;2019-08-25;1;1;1;NO APLICA;1
SEC00020;1;2010-05-13;14;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;TACNA;2019-08-25;1;1;1;NO APLICA;1
SEC00021;1;2015-06-19;9;3;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;TACNA;2019-08-25;1;1;1;NO APLICA;1
SEC00022;1;2013-01-26;12;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-09-10;1;1;1;NO APLICA;1
SEC00023;2;2008-12-13;16;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-09-11;1;1;1;NO APLICA;1
SEC00024;2;2012-11-28;12;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-09-12;1;1;1;NO APLICA;2
SEC00025;2;2011-03-06;14;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-09-20;1;1;1;NO APLICA;1
SEC00026;1;2011-10-23;13;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2019-10-15;1;1;1;NO APLICA;2
SEC00027;2;2010-09-17;14;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2019-12-24;1;1;1;NO APLICA;2
SEC00028;2;2017-04-16;8;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2019-12-24;1;1;1;NO APLICA;2
SEC00029;2;2006-11-30;18;5;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;2020-01-10;1;1;2;2025-01-24;2
SEC00030;2;2012-02-16;13;4;PERÚ;2;EDUCADORES DE CALLE;TACNA;TACNA;CORONEL GREGORIO ALBARRACIN LANCHIPA;2020-01-10;1;1;2;2025-03-25;2
SEC00031;2;2019-08-11;5;2;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;LIMA;2020-01-29;1;1;1;NO APLICA;2
SEC00032;2;2010-02-08;15;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;HUÁNUCO;2020-01-30;1;1;1;NO APLICA;2
SEC00033;1;2013-10-05;11;3;PERÚ;2;EDUCADORES DE CALLE;LORETO;MAYNAS;IQUITOS;2020-01-31;1;1;1;NO APLICA;2
SEC00034;2;2016-03-31;9;3;PERÚ;2;EDUCADORES DE CALLE;LORETO;MAYNAS;IQUITOS;2020-01-31;1;1;1;NO APLICA;2
SEC00035;1;2018-08-24;6;3;PERÚ;2;EDUCADORES DE CALLE;LORETO;MAYNAS;IQUITOS;2020-01-31;1;1;1;NO APLICA;2
SEC00036;2;2011-01-27;14;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;AMARILIS;2020-02-01;1;1;1;NO APLICA;2
SEC00037;1;2014-06-02;10;3;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;AMARILIS;2020-02-01;1;1;1;NO APLICA;2
SEC00038;1;2008-04-11;17;4;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;CERRO COLORADO;2020-02-13;1;1;1;NO APLICA;2
SEC00039;2;2012-11-29;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2020-02-13;1;1;2;2025-05-23;2
SEC00040;1;2012-11-17;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2020-02-13;1;1;2;2025-05-23;1
SEC00041;1;2016-03-16;9;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;HUARAL;HUARAL;2021-01-19;1;1;1;NO APLICA;2
SEC00042;1;2013-08-03;11;3;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SANTA ANITA;2021-01-23;3;1;1;NO APLICA;2
SEC00043;1;2008-11-21;16;4;PERÚ;1;EDUCADORES DE CALLE;LIMA;LIMA;SANTA ANITA;2021-01-28;3;1;1;NO APLICA;2
SEC00044;1;2012-02-06;13;4;PERÚ;2;EDUCADORES DE CALLE;LIMA;LIMA;SANTA ANITA;2021-02-03;3;1;1;NO APLICA;2
SEC00045;1;2007-11-02;17;4;PERÚ;1;EDUCADORES DE CALLE;LIMA;LIMA;EL AGUSTINO;2021-02-04;3;1;1;NO APLICA;2
SEC00046;2;2010-05-07;14;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2021-02-18;1;1;2;2025-05-26;2
SEC00047;2;2007-05-18;17;4;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;2;2025-05-19;2
SEC00048;2;2009-01-29;16;4;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;2;2025-05-13;2
SEC00049;1;2010-11-12;14;4;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;2;2025-05-15;2
SEC00050;2;2007-06-09;17;4;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;2;2025-05-09;2
SEC00051;2;2009-12-14;15;4;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;2;2025-05-09;2
SEC00052;2;2006-11-10;18;5;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;1;NO APLICA;2
SEC00053;1;2009-09-22;15;4;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;2;2025-05-13;2
SEC00054;2;2010-10-05;14;4;PERÚ;2;EDUCADORES DE CALLE;TUMBES;TUMBES;TUMBES;2021-02-20;1;1;1;NO APLICA;2
SEC00055;1;2008-06-01;16;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2021-02-20;1;1;2;2025-03-26;2
SEC00056;2;2010-03-31;15;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2021-02-23;1;1;2;2025-03-26;2
SEC00057;2;2010-01-24;15;4;PERÚ;2;EDUCADORES DE CALLE;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;2021-02-25;1;1;1;NO APLICA;2
SEC00058;2;2007-07-03;17;4;PERÚ;2;EDUCADORES DE CALLE;AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;2021-03-01;1;1;2;2025-01-09;2
SEC00059;2;2009-02-10;16;4;PERÚ;2;EDUCADORES DE CALLE;AYACUCHO;HUAMANGA;AYACUCHO;2021-03-02;1;1;1;NO APLICA;2
SEC00060;2;2012-09-10;12;4;PERÚ;2;EDUCADORES DE CALLE;APURÍMAC;ABANCAY;ABANCAY;2021-03-02;1;1;1;NO APLICA;2
SEC00061;1;2010-11-26;14;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;HUÁNUCO;2021-03-03;1;1;2;2025-05-26;1
SEC00062;1;2008-10-04;16;4;PERÚ;2;EDUCADORES DE CALLE;HUÁNUCO;HUÁNUCO;HUÁNUCO;2021-03-03;1;1;1;NO APLICA;1
